Permno,Ticker,Date,Open,High,Low,Close,Price,Return,Volume
86454,XLE,2021-01-04,38.34,38.66,37.51,37.96,37.96,0.001583,33858830.0
86454,XLE,2021-01-05,38.37,40.7,38.335,39.66,39.66,0.044784,47736719.0
86454,XLE,2021-01-06,40.44,41.25,39.92,40.87,40.87,0.030509,43131366.0
86454,XLE,2021-01-07,41.23,41.89,40.8,41.47,41.47,0.014681,25728595.0
86454,XLE,2021-01-08,42.0,42.0,41.09,41.42,41.42,-0.001206,31371973.0
86454,XLE,2021-01-11,40.52,42.235,40.29,42.07,42.07,0.015693,23451593.0
86454,XLE,2021-01-12,42.58,43.77,42.26,43.54,43.54,0.034942,43973639.0
86454,XLE,2021-01-13,43.69,43.71,42.87,43.2,43.2,-0.007809,27382210.0
86454,XLE,2021-01-14,43.47,45.0,43.43,44.48,44.48,0.02963,41657302.0
86454,XLE,2021-01-15,43.69,43.7,42.33,42.75,42.75,-0.038894,47748499.0
86454,XLE,2021-01-19,43.27,43.91,43.13,43.61,43.61,0.020117,27809736.0
86454,XLE,2021-01-20,43.98,44.09,43.34,43.77,43.77,0.003669,25362807.0
86454,XLE,2021-01-21,43.53,43.75,41.895,42.29,42.29,-0.033813,29995048.0
86454,XLE,2021-01-22,41.36,42.185,41.02,42.07,42.07,-0.005202,25222345.0
86454,XLE,2021-01-25,41.61,41.77,40.88,41.64,41.64,-0.010221,40911640.0
86454,XLE,2021-01-26,42.01,42.64,40.73,40.75,40.75,-0.021374,27499841.0
86454,XLE,2021-01-27,40.08,41.32,39.51,40.2,40.2,-0.013497,49933611.0
86454,XLE,2021-01-28,40.53,41.16,40.16,40.67,40.67,0.011692,28624097.0
86454,XLE,2021-01-29,40.1,40.62,39.175,39.32,39.32,-0.033194,31534480.0
86454,XLE,2021-02-01,39.8,40.0,38.94,39.6,39.6,0.007121,30510700.0
86454,XLE,2021-02-02,40.55,40.99,40.025,40.03,40.03,0.010859,31964506.0
86454,XLE,2021-02-03,40.24,41.849,40.09,41.74,41.74,0.042718,37192842.0
86454,XLE,2021-02-04,42.05,42.21,41.305,42.2,42.2,0.011021,24163900.0
86454,XLE,2021-02-05,42.86,43.0,42.435,42.56,42.56,0.008531,24098229.0
86454,XLE,2021-02-08,43.18,44.5481,43.14,44.34,44.34,0.041823,31184121.0
86454,XLE,2021-02-09,43.99,44.13,43.285,43.87,43.87,-0.0106,32399363.0
86454,XLE,2021-02-10,44.02,44.75,43.74,44.71,44.71,0.019148,29225494.0
86454,XLE,2021-02-11,44.57,44.58,43.085,44.02,44.02,-0.015433,24816343.0
86454,XLE,2021-02-12,43.705,44.71,43.63,44.67,44.67,0.014766,23700434.0
86454,XLE,2021-02-16,45.7,46.32,45.465,45.79,45.79,0.025073,38296698.0
86454,XLE,2021-02-17,46.26,46.765,45.59,46.47,46.47,0.01485,34535375.0
86454,XLE,2021-02-18,46.27,46.36,45.275,45.42,45.42,-0.022595,30680058.0
86454,XLE,2021-02-19,45.48,46.36,45.425,46.18,46.18,0.016733,27202087.0
86454,XLE,2021-02-22,46.49,48.465,46.41,47.78,47.78,0.034647,37822251.0
86454,XLE,2021-02-23,48.35,48.71,46.51,48.57,48.57,0.016534,49185420.0
86454,XLE,2021-02-24,48.89,50.58,48.48,50.29,50.29,0.035413,38874435.0
86454,XLE,2021-02-25,50.81,50.81,48.98,49.32,49.32,-0.019288,37943918.0
86454,XLE,2021-02-26,48.66,48.8,46.73,48.15,48.15,-0.023723,45154407.0
86454,XLE,2021-03-01,49.42,50.08,49.06,49.4,49.4,0.025961,34695790.0
86454,XLE,2021-03-02,49.58,49.98,49.1,49.13,49.13,-0.005466,37234094.0
86454,XLE,2021-03-03,49.49,50.98,49.48,49.85,49.85,0.014655,41287218.0
86454,XLE,2021-03-04,50.3,51.96,49.83,51.04,51.04,0.023872,53786915.0
86454,XLE,2021-03-05,52.49,53.07,51.18,52.95,52.95,0.037422,56197882.0
86454,XLE,2021-03-08,53.47,53.75,52.28,53.05,53.05,0.001889,50305048.0
86454,XLE,2021-03-09,52.75,53.5115,51.7475,52.12,52.12,-0.017531,59444769.0
86454,XLE,2021-03-10,52.2,53.62,51.95,53.44,53.44,0.025326,39208269.0
86454,XLE,2021-03-11,53.55,54.365,53.34,53.46,53.46,0.000374,25398699.0
86454,XLE,2021-03-12,53.56,54.0493,53.165,53.57,53.57,0.002058,29893370.0
86454,XLE,2021-03-15,53.45,53.6,52.32,52.96,52.96,-0.011387,30245850.0
86454,XLE,2021-03-16,52.08,52.13,51.13,51.45,51.45,-0.028512,38643535.0
