Permno,Ticker,Date,Open,High,Low,Close,Price,Return,Volume,Growth_Index,Cumulative_Return,Running_Peak,Drawdown
86454,XLE,2021-01-04,38.34,38.66,37.51,37.96,37.96,0.001583,33858830.0,1.001583,0.00158299999999989,1.001583,0.0
86454,XLE,2021-01-05,38.37,40.7,38.335,39.66,39.66,0.044784,47736719.0,1.0464378930719997,0.04643789307199975,1.0464378930719997,0.0
86454,XLE,2021-01-06,40.44,41.25,39.92,40.87,40.87,0.030509,43131366.0,1.0783636667517333,0.07836366675173334,1.0783636667517333,0.0
86454,XLE,2021-01-07,41.23,41.89,40.8,41.47,41.47,0.014681,25728595.0,1.0941951237433154,0.0941951237433154,1.0941951237433154,0.0
86454,XLE,2021-01-08,42.0,42.0,41.09,41.42,41.42,-0.001206,31371973.0,1.0928755244240809,0.09287552442408087,1.0941951237433154,-0.0012060000000000404
86454,XLE,2021-01-11,40.52,42.235,40.29,42.07,42.07,0.015693,23451593.0,1.1100260200288679,0.11002602002886785,1.1100260200288679,0.0
86454,XLE,2021-01-12,42.58,43.77,42.26,43.54,43.54,0.034942,43973639.0,1.1488125492207166,0.14881254922071663,1.1488125492207166,0.0
86454,XLE,2021-01-13,43.69,43.71,42.87,43.2,43.2,-0.007809,27382210.0,1.139841472023852,0.1398414720238521,1.1488125492207166,-0.007808999999999955
86454,XLE,2021-01-14,43.47,45.0,43.43,44.48,44.48,0.02963,41657302.0,1.173614974839919,0.17361497483991895,1.173614974839919,0.0
86454,XLE,2021-01-15,43.69,43.7,42.33,42.75,42.75,-0.038894,47748499.0,1.1279683940084952,0.12796839400849525,1.173614974839919,-0.03889399999999987
86454,XLE,2021-01-19,43.27,43.91,43.13,43.61,43.61,0.020117,27809736.0,1.150659734190764,0.15065973419076406,1.173614974839919,-0.019559430598000027
86454,XLE,2021-01-20,43.98,44.09,43.34,43.77,43.77,0.003669,25362807.0,1.1548815047555099,0.15488150475550988,1.173614974839919,-0.01596219414886413
86454,XLE,2021-01-21,43.53,43.75,41.895,42.29,42.29,-0.033813,29995048.0,1.1158314964352118,0.11583149643521184,1.173614974839919,-0.04923546447810856
86454,XLE,2021-01-22,41.36,42.185,41.02,42.07,42.07,-0.005202,25222345.0,1.1100269409907557,0.11002694099075572,1.173614974839919,-0.054181341591893584
86454,XLE,2021-01-25,41.61,41.77,40.88,41.64,41.64,-0.010221,40911640.0,1.098681355626889,0.09868135562688907,1.173614974839919,-0.06384855409948298
86454,XLE,2021-01-26,42.01,42.64,40.73,40.75,40.75,-0.021374,27499841.0,1.07519814033172,0.0751981403317199,1.173614974839919,-0.08385785510416066
86454,XLE,2021-01-27,40.08,41.32,39.51,40.2,40.2,-0.013497,49933611.0,1.0606861910316627,0.06068619103166273,1.173614974839919,-0.09622302563381968
