ETF,ETF_Display_Name,Sector,Representative_Stock_Ticker,Representative_Company_Name,Why_Selected,Permno,Date,Open,High,Low,Close,Price,Return,Volume
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-04,41.45,42.245,41.0,41.5,41.5,0.006793,27764696.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-05,41.84,44.8,41.83,43.5,43.5,0.048193,44035135.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-06,44.41,45.1,43.7,44.61,44.61,0.025517,36484795.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-07,45.0,45.57,44.53,44.96,44.96,0.007846,29528115.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-08,45.2,45.82,44.95,45.46,45.46,0.011121,28628224.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-11,45.04,47.135,44.75,46.84,46.84,0.030356,38290907.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-12,47.46,48.17,46.91,47.88,47.88,0.022203,36915073.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-13,48.53,48.71,47.69,48.42,48.42,0.011278,29000268.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-14,48.5,51.08,48.5,50.31,50.31,0.039034,35474755.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-15,48.91,49.08,47.29,47.89,47.89,-0.048102,42411257.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-19,48.45,49.44,48.35,48.84,48.84,0.019837,24932592.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-20,49.11,49.74,48.9907,49.53,49.53,0.014128,22342398.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-21,49.33,49.39,47.68,48.11,48.11,-0.02867,29058601.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-22,47.01,47.64,46.64,47.43,47.43,-0.014134,23264836.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-25,46.9,47.05,46.16,46.9,46.9,-0.011174,26395838.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-26,47.26,47.86,45.85,45.87,45.87,-0.021962,23976788.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-27,45.0,46.66,44.53,45.35,45.35,-0.011336,32410346.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-28,45.94,46.59,45.69,46.06,46.06,0.015656,24967246.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-29,45.55,46.04,44.51,44.84,44.84,-0.026487,38961077.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-02-01,45.58,45.58,44.29,44.92,44.92,0.001784,24412394.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-02-02,45.81,46.9861,45.2805,45.63,45.63,0.015806,31940403.0
