ETF,ETF_Display_Name,Sector,Representative_Stock_Ticker,Representative_Company_Name,Why_Selected,Permno,Date,Open,High,Low,Close,Price,Return,Volume,Growth_Index,Cumulative_Return,Running_Peak,Drawdown
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-04,41.45,42.245,41.0,41.5,41.5,0.006793,27764696.0,1.006793,0.006793000000000049,1.006793,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-05,41.84,44.8,41.83,43.5,43.5,0.048193,44035135.0,1.055313375049,0.055313375049000024,1.055313375049,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-06,44.41,45.1,43.7,44.61,44.61,0.025517,36484795.0,1.0822418064401254,0.08224180644012535,1.0822418064401254,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-07,45.0,45.57,44.53,44.96,44.96,0.007846,29528115.0,1.0907330756534546,0.09073307565345456,1.0907330756534546,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-08,45.2,45.82,44.95,45.46,45.46,0.011121,28628224.0,1.1028631181877966,0.10286311818779659,1.1028631181877966,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-11,45.04,47.135,44.75,46.84,46.84,0.030356,38290907.0,1.1363416310035055,0.1363416310035055,1.1363416310035055,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-12,47.46,48.17,46.91,47.88,47.88,0.022203,36915073.0,1.1615718242366764,0.16157182423667638,1.1615718242366764,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-13,48.53,48.71,47.69,48.42,48.42,0.011278,29000268.0,1.1746720312704175,0.17467203127041753,1.1746720312704175,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-14,48.5,51.08,48.5,50.31,50.31,0.039034,35474755.0,1.2205241793390271,0.22052417933902713,1.2205241793390271,0.0
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-15,48.91,49.08,47.29,47.89,47.89,-0.048102,42411257.0,1.1618145252644612,0.16181452526446116,1.2205241793390271,-0.04810200000000009
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-19,48.45,49.44,48.35,48.84,48.84,0.019837,24932592.0,1.1848614400021324,0.18486144000213245,1.2205241793390271,-0.02921919937399997
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-20,49.11,49.74,48.9907,49.53,49.53,0.014128,22342398.0,1.2016011624264824,0.2016011624264824,1.2205241793390271,-0.015504008222755994
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-21,49.33,49.39,47.68,48.11,48.11,-0.02867,29058601.0,1.1671512570997151,0.16715125709971512,1.2205241793390271,-0.0437295083070095
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-22,47.01,47.64,46.64,47.43,47.43,-0.014134,23264836.0,1.1506547412318677,0.15065474123186773,1.2205241793390271,-0.057245435436598324
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-25,46.9,47.05,46.16,46.9,46.9,-0.011174,26395838.0,1.1377973251533429,0.13779732515334286,1.2205241793390271,-0.06777977494102971
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-26,47.26,47.86,45.85,45.87,45.87,-0.021962,23976788.0,1.1128090202983252,0.11280902029832518,1.2205241793390271,-0.08825319552377475
XLE,XLE (Energy),Energy,XOM,EXXON MOBIL CORP,Representative large-cap energy stock,11850,2021-01-27,45.0,46.66,44.53,45.35,45.35,-0.011336,32410346.0,1.1001942172442234,0.1001942172442234,1.2205241793390271,-0.09858875729931726
