permno,permco,ticker,issuernm,securitytype,securitysubtype,sharetype,namedt,nameenddt,securitybegdt,securityenddt,primaryexch
18542,20408,CAT,CATERPILLAR TRACTOR INC,EQTY,COM,NS,1971-04-01,1986-05-21,1929-12-02,2025-12-31,N
18542,20408,CAT,CATERPILLAR INC,EQTY,COM,NS,1986-05-22,2014-01-26,1929-12-02,2025-12-31,N
18542,20408,CAT,CATERPILLAR INC,EQTY,COM,NS,2014-01-27,2016-12-07,1929-12-02,2025-12-31,N
18542,20408,CAT,CATERPILLAR INC,EQTY,COM,NS,2016-12-08,2025-12-31,1929-12-02,2025-12-31,N
48071,21222,JPM,MORGAN J P & CO INC,EQTY,COM,NS,1969-04-01,2000-12-29,1969-04-01,2000-12-29,N
47896,20436,JPM,J P MORGAN CHASE & CO,EQTY,COM,NS,2001-01-02,2001-02-28,1969-03-05,2025-12-31,N
47896,20436,JPM,J P MORGAN CHASE & CO,EQTY,COM,NS,2001-03-01,2002-01-31,1969-03-05,2025-12-31,N
47896,20436,JPM,J P MORGAN CHASE & CO,EQTY,COM,NS,2002-02-01,2004-07-27,1969-03-05,2025-12-31,N
47896,20436,JPM,JPMORGAN CHASE & CO,EQTY,COM,NS,2004-07-28,2009-09-16,1969-03-05,2025-12-31,N
47896,20436,JPM,JPMORGAN CHASE & CO,EQTY,COM,NS,2009-09-17,2010-01-28,1969-03-05,2025-12-31,N
47896,20436,JPM,JPMORGAN CHASE & CO,EQTY,COM,NS,2010-01-29,2012-02-29,1969-03-05,2025-12-31,N
47896,20436,JPM,JPMORGAN CHASE & CO,EQTY,COM,NS,2012-03-01,2012-08-09,1969-03-05,2025-12-31,N
47896,20436,JPM,JPMORGAN CHASE & CO,EQTY,COM,NS,2012-08-10,2013-11-04,1969-03-05,2025-12-31,N
47896,20436,JPM,JPMORGAN CHASE & CO,EQTY,COM,NS,2013-11-05,2016-06-22,1969-03-05,2025-12-31,N
47896,20436,JPM,JPMORGAN CHASE & CO,EQTY,COM,NS,2016-06-23,2016-08-03,1969-03-05,2025-12-31,N
47896,20436,JPM,JPMORGAN CHASE & CO,EQTY,COM,NS,2016-08-04,2025-12-31,1969-03-05,2025-12-31,N
50876,21102,LLY,LILLY ELI & CO,EQTY,COM,NS,1970-07-09,2025-12-31,1970-07-09,2025-12-31,N
86580,16382,NVDA,NVIDIA CORP,EQTY,COM,NS,1999-01-22,2014-02-12,1999-01-22,2025-12-31,Q
86580,16382,NVDA,NVIDIA CORP,EQTY,COM,NS,2014-02-13,2025-12-31,1999-01-22,2025-12-31,Q
18163,21446,PG,PROCTER & GAMBLE CO,EQTY,COM,NS,1962-07-02,1968-01-01,1929-08-12,2025-12-31,N
18163,21446,PG,PROCTER & GAMBLE CO,EQTY,COM,NS,1968-01-02,2021-04-13,1929-08-12,2025-12-31,N
18163,21446,PG,PROCTER & GAMBLE CO,EQTY,COM,NS,2021-04-14,2025-12-31,1929-08-12,2025-12-31,N
11850,20678,XOM,EXXON MOBIL CORP,EQTY,COM,NS,1999-12-01,2016-12-18,1925-12-31,2025-12-31,N
11850,20678,XOM,EXXON MOBIL CORP,EQTY,COM,NS,2016-12-19,2019-09-10,1925-12-31,2025-12-31,N
11850,20678,XOM,EXXON MOBIL CORP,EQTY,COM,NS,2019-09-11,2024-06-30,1925-12-31,2025-12-31,N
11850,20678,XOM,EXXON MOBIL CORP,EQTY,COM,NS,2024-07-01,2025-12-31,1925-12-31,2025-12-31,N
